start_neighborhood,trip_duration
Midtown-Times Square,993.0
Tribeca-Civic Center,581.0
Hell's Kitchen,361.0
Murray Hill-Kips Bay,561.0
Greenwich Village,427.0
West Village,639.0
West Village,263.0
Midtown-Times Square,666.0
Chelsea-Hudson Yards,582.0
Midtown-Times Square,1313.0
SoHo-Little Italy-Hudson Square,1250.0
East Village,1007.0
Chelsea-Hudson Yards,1043.0
Murray Hill-Kips Bay,820.0
Murray Hill-Kips Bay,174.0
West Village,1286.0
Financial District-Battery Park City,1751.0
East Village,667.0
Midtown South-Flatiron-Union Square,817.0
Murray Hill-Kips Bay,806.0
Chelsea-Hudson Yards,624.0
Fort Greene,471.0
West Village,614.0
East Midtown-Turtle Bay,1202.0
Greenwich Village,236.0
Williamsburg,478.0
Midtown South-Flatiron-Union Square,332.0
Clinton Hill,254.0
Gramercy,143.0
Greenwich Village,1098.0
Williamsburg,2057.0
Chelsea-Hudson Yards,950.0
Midtown-Times Square,609.0
Chelsea-Hudson Yards,580.0
Fort Greene,1850.0
Midtown-Times Square,532.0
Midtown-Times Square,546.0
Hell's Kitchen,337.0
Upper West Side-Lincoln Square,1515.0
Tribeca-Civic Center,1816.0
Midtown-Times Square,452.0
Midtown-Times Square,1780.0
East Village,944.0
Financial District-Battery Park City,236.0
Lower East Side,958.0
Financial District-Battery Park City,1016.0
Clinton Hill,419.0
Greenwich Village,477.0
Greenwich Village,1021.0
Chelsea-Hudson Yards,1326.0
Chelsea-Hudson Yards,189.0
Upper West Side-Lincoln Square,799.0
Clinton Hill,927.0
Lower East Side,549.0
Midtown South-Flatiron-Union Square,1691.0
Gramercy,841.0
Downtown Brooklyn-DUMBO-Boerum Hill,192.0
Hell's Kitchen,823.0
Chelsea-Hudson Yards,651.0
Tribeca-Civic Center,887.0
Midtown South-Flatiron-Union Square,649.0
East Midtown-Turtle Bay,858.0
Chelsea-Hudson Yards,957.0
Downtown Brooklyn-DUMBO-Boerum Hill,551.0
Murray Hill-Kips Bay,1626.0
West Village,384.0
Fort Greene,685.0
The Battery-Governors Island-Ellis Island-Liberty Island,1422.0
SoHo-Little Italy-Hudson Square,247.0
Greenwich Village,359.0
Fort Greene,599.0
Chelsea-Hudson Yards,660.0
Stuyvesant Town-Peter Cooper Village,156.0
Hell's Kitchen,247.0
Midtown-Times Square,379.0
Chelsea-Hudson Yards,361.0
Midtown-Times Square,317.0
West Village,924.0
Stuyvesant Town-Peter Cooper Village,988.0
Tribeca-Civic Center,1471.0
Greenwich Village,137.0
Greenwich Village,741.0
Lower East Side,1108.0
Murray Hill-Kips Bay,854.0
Murray Hill-Kips Bay,1665.0
Murray Hill-Kips Bay,455.0
Chelsea-Hudson Yards,1259.0
Murray Hill-Kips Bay,1030.0
Lower East Side,320.0
Financial District-Battery Park City,395.0
West Village,1890.0
Bedford-Stuyvesant (West),407.0
