age,start_hour
57.0,18.0
42.0,18.0
36.0,19.0
37.0,11.0
39.0,22.0
31.0,13.0
56.0,10.0
32.0,12.0
42.0,16.0
47.0,20.0
40.0,23.0
46.0,2.0
58.0,9.0
44.0,15.0
66.0,18.0
49.0,6.0
47.0,18.0
36.0,7.0
40.0,17.0
49.0,1.0
51.0,7.0
47.0,20.0
54.0,14.0
44.0,18.0
59.0,9.0
47.0,16.0
38.0,8.0
60.0,8.0
40.0,19.0
74.0,10.0
71.0,16.0
56.0,17.0
36.0,12.0
42.0,23.0
37.0,14.0
65.0,8.0
56.0,21.0
41.0,9.0
36.0,21.0
60.0,19.0
40.0,18.0
70.0,19.0
49.0,11.0
37.0,17.0
58.0,22.0
47.0,22.0
67.0,7.0
59.0,14.0
50.0,11.0
38.0,7.0
41.0,20.0
39.0,8.0
37.0,19.0
44.0,18.0
72.0,8.0
49.0,12.0
47.0,11.0
50.0,18.0
37.0,13.0
36.0,16.0
47.0,14.0
45.0,20.0
52.0,15.0
41.0,7.0
47.0,13.0
68.0,10.0
55.0,11.0
47.0,19.0
48.0,11.0
38.0,0.0
45.0,17.0
64.0,6.0
40.0,18.0
45.0,22.0
60.0,12.0
43.0,17.0
63.0,19.0
47.0,17.0
39.0,19.0
47.0,16.0
41.0,13.0
50.0,8.0
47.0,18.0
39.0,18.0
47.0,12.0
37.0,8.0
50.0,23.0
38.0,21.0
66.0,15.0
71.0,11.0
51.0,18.0
46.0,8.0
50.0,13.0
55.0,20.0
38.0,16.0
60.0,18.0
58.0,23.0
44.0,8.0
37.0,19.0
44.0,18.0
40.0,14.0
69.0,9.0
49.0,16.0
34.0,7.0
37.0,17.0
49.0,16.0
47.0,11.0
61.0,14.0
46.0,10.0
43.0,15.0
61.0,8.0
44.0,16.0
49.0,21.0
47.0,19.0
64.0,8.0
51.0,16.0
32.0,18.0
39.0,12.0
48.0,20.0
45.0,7.0
63.0,12.0
37.0,8.0
47.0,21.0
49.0,16.0
41.0,20.0
44.0,7.0
47.0,16.0
68.0,17.0
46.0,18.0
47.0,15.0
32.0,15.0
47.0,16.0
64.0,16.0
43.0,7.0
42.0,19.0
47.0,17.0
41.0,21.0
