observation_date,NYSTHPI
1975-01-01,78.11
1975-04-01,75.64
1975-07-01,77.57
1975-10-01,79.16
1976-01-01,72.54
1976-04-01,74.48
1976-07-01,75.35
1976-10-01,73.68
1977-01-01,77.76
1977-04-01,82.64
1977-07-01,82.13
1977-10-01,84.59
1978-01-01,83.17
1978-04-01,87.24
1978-07-01,83.66
1978-10-01,83.58
1979-01-01,96.62
1979-04-01,95.62
1979-07-01,94.62
1979-10-01,98.04
1980-01-01,100.00
1980-04-01,107.02
1980-07-01,114.64
1980-10-01,111.02
1981-01-01,111.95
1981-04-01,107.82
1981-07-01,115.22
1981-10-01,113.84
1982-01-01,123.14
1982-04-01,124.80
1982-07-01,121.83
1982-10-01,125.86
1983-01-01,128.35
1983-04-01,132.26
1983-07-01,137.59
1983-10-01,146.88
1984-01-01,150.10
1984-04-01,156.13
1984-07-01,161.75
1984-10-01,168.47
1985-01-01,175.33
1985-04-01,183.76
1985-07-01,190.11
1985-10-01,197.70
1986-01-01,205.53
1986-04-01,216.37
1986-07-01,226.16
1986-10-01,236.30
1987-01-01,245.75
1987-04-01,254.37
1987-07-01,266.07
1987-10-01,269.90
1988-01-01,276.33
1988-04-01,279.69
1988-07-01,281.82
1988-10-01,282.72
1989-01-01,282.56
1989-04-01,281.99
1989-07-01,284.94
1989-10-01,285.57
1990-01-01,285.57
1990-04-01,282.39
1990-07-01,280.81
1990-10-01,277.76
1991-01-01,277.31
1991-04-01,279.22
1991-07-01,278.28
1991-10-01,280.59
1992-01-01,285.84
1992-04-01,281.83
1992-07-01,284.99
1992-10-01,287.05
1993-01-01,281.76
1993-04-01,288.36
1993-07-01,287.47
1993-10-01,288.58
1994-01-01,285.20
1994-04-01,281.37
1994-07-01,279.87
1994-10-01,274.68
1995-01-01,273.30
1995-04-01,278.12
1995-07-01,282.61
1995-10-01,281.90
1996-01-01,286.58
1996-04-01,284.83
1996-07-01,282.82
1996-10-01,282.53
1997-01-01,282.63
1997-04-01,286.05
1997-07-01,288.51
1997-10-01,291.35
1998-01-01,297.96
1998-04-01,300.07
1998-07-01,302.46
1998-10-01,306.58
1999-01-01,308.92
1999-04-01,314.50
1999-07-01,323.48
1999-10-01,329.48
2000-01-01,334.28
2000-04-01,344.30
2000-07-01,354.31
2000-10-01,359.71
2001-01-01,367.84
2001-04-01,376.05
2001-07-01,386.33
2001-10-01,393.14
2002-01-01,402.74
2002-04-01,415.49
2002-07-01,428.06
2002-10-01,437.33
2003-01-01,447.11
2003-04-01,458.02
2003-07-01,465.02
2003-10-01,486.80
2004-01-01,497.13
2004-04-01,511.81
2004-07-01,536.46
2004-10-01,549.96
2005-01-01,564.73
2005-04-01,583.63
2005-07-01,602.48
2005-10-01,616.29
2006-01-01,627.28
2006-04-01,629.13
2006-07-01,628.46
2006-10-01,636.75
2007-01-01,639.92
2007-04-01,637.73
2007-07-01,628.49
2007-10-01,630.42
2008-01-01,633.80
2008-04-01,621.90
2008-07-01,605.49
2008-10-01,599.81
2009-01-01,606.93
2009-04-01,593.81
2009-07-01,579.92
2009-10-01,574.65
2010-01-01,571.06
2010-04-01,567.32
2010-07-01,575.39
2010-10-01,575.14
2011-01-01,566.53
2011-04-01,558.49
2011-07-01,555.83
2011-10-01,560.18
2012-01-01,555.98
2012-04-01,550.26
2012-07-01,552.06
2012-10-01,553.82
2013-01-01,554.49
2013-04-01,555.97
2013-07-01,558.59
2013-10-01,557.58
2014-01-01,558.02
2014-04-01,563.59
2014-07-01,571.58
2014-10-01,574.77
2015-01-01,580.27
2015-04-01,585.00
2015-07-01,589.80
2015-10-01,590.88
2016-01-01,593.77
2016-04-01,603.28
2016-07-01,611.50
2016-10-01,616.82
2017-01-01,618.29
2017-04-01,628.01
2017-07-01,640.64
2017-10-01,646.30
2018-01-01,653.64
2018-04-01,661.15
2018-07-01,671.87
2018-10-01,672.27
2019-01-01,677.71
2019-04-01,688.88
2019-07-01,698.94
2019-10-01,706.40
2020-01-01,712.90
2020-04-01,718.80
2020-07-01,730.59
2020-10-01,746.58
2021-01-01,764.32
2021-04-01,791.70
2021-07-01,831.37
2021-10-01,850.37
2022-01-01,872.02
2022-04-01,921.22
2022-07-01,940.92
2022-10-01,936.22
2023-01-01,937.88
2023-04-01,972.67
2023-07-01,1005.49
2023-10-01,1008.67
2024-01-01,1018.78
2024-04-01,1057.62
2024-07-01,1079.91
2024-10-01,1085.62
2025-01-01,1092.90
